bandit,precision_at_1,ndcg_at_5,coverage_at_5,personalization_at_5,IPS,CIPS,SNIPS,DirectEstimator,DoublyRobust,count
adaptive,0.331,0.415,0.379,0.77,0.314,0.188,0.331,0.181,0.291,6
custom,0.338,0.443,0.371,0.724,0.324,0.191,0.319,0.18,0.299,6
epsilon,0.311,0.441,0.343,0.737,0.305,0.177,0.322,0.165,0.278,6
explore,0.315,0.423,0.313,0.737,0.308,0.179,0.316,0.167,0.28,5
fixed,0.074,0.199,0.154,0.592,0.063,0.039,0.052,0.046,0.062,1
lin,0.065,0.183,0.297,0.721,0.047,0.031,0.049,0.033,0.043,7
model,0.349,0.444,0.305,0.73,0.342,0.198,0.35,0.194,0.316,28
percentile,0.319,0.426,0.364,0.75,0.306,0.18,0.307,0.171,0.279,6
random,0.042,0.146,0.392,0.777,0.029,0.023,0.032,0.025,0.029,1
softmax,0.316,0.446,0.328,0.727,0.308,0.179,0.302,0.171,0.281,5
